idx,count
0,15
1,12
2,11
3,13
4,21
5,12
6,20
7,16
8,15
9,15
10,16
11,16
12,13
13,11
14,28
15,16
16,13
17,16
18,16
19,15
20,16
21,15
22,20
23,21
24,6
25,15
26,13
27,11
28,17
29,23
30,15
31,13
32,11
33,8
34,17
35,20
36,17
37,17
38,26
39,14
40,12
41,18
42,15
43,17
44,17
45,12
46,27
47,11
48,20
49,17
50,21
51,24
52,18
53,23
54,23
55,19
56,11
57,16
58,21
59,10
60,27
61,19
62,14
63,12
64,15
65,12
66,13
67,17
68,19
69,16
70,12
71,18
72,12
73,12
74,18
75,13
76,17
77,14
78,20
79,18
80,22
81,15
82,13
83,23
84,18
85,28
86,16
87,16
88,17
89,10
90,14
91,12
92,18
93,8
94,13
95,17
96,17
97,15
98,20
99,20
100,16
101,11
102,20
103,21
104,9
105,17
106,16
107,15
108,15
109,16
110,10
111,13
112,18
113,12
114,16
115,12
116,22
117,17
118,16
119,25
120,21
121,12
122,12
123,16
124,17
125,16
126,15
127,18
128,16
129,13
130,13
131,12
132,17
133,17
134,10
135,17
136,10
137,10
138,16
139,15
140,14
141,13
142,12
143,13
144,19
145,22
146,16
147,11
148,14
149,14
150,18
151,14
152,10
153,15
154,6
155,18
156,13
157,10
158,26
159,11
160,11
161,16
162,16
163,13
164,13
165,25
166,20
167,17
168,13
169,12
170,13
171,16
172,19
173,12
174,13
175,12
176,13
177,8
178,11
179,14
180,23
181,18
182,18
183,14
184,7
185,13
186,13
187,10
188,11
189,12
190,19
191,11
192,13
193,19
194,14
195,15
196,16
197,11
198,18
199,22
200,8
201,6
202,15
203,13
204,13
205,11
206,8
207,14
208,14
209,11
210,19
211,12
212,9
213,11
214,12
215,21
216,8
217,9
218,16
219,8
220,12
221,19
222,14
223,18
224,21
225,7
226,16
227,23
228,20
229,9
230,17
231,21
232,7
233,17
234,11
235,12
236,15
237,12
238,10
239,14
240,16
241,16
242,11
243,9
244,16
245,20
246,20
247,18
248,16
249,10
250,12
251,13
252,11
253,12
254,11
255,13
256,17
257,10
258,19
259,18
260,14
261,8
262,13
263,13
264,13
265,16
266,6
267,10
268,14
269,17
270,18
271,10
272,29
273,13
274,9
275,7
276,18
277,26
278,17
279,8
280,16
281,12
282,13
283,9
284,20
285,10
286,8
287,12
288,15
289,24
290,18
291,19
292,17
293,19
294,19
295,17
296,10
297,15
298,9
299,7
300,12
301,10
302,20
303,9
304,16
305,25
306,20
307,8
308,16
309,13
310,16
311,11
312,17
313,16
314,15
315,12
316,15
317,12
318,10
319,10
320,15
321,14
322,13
323,11
324,15
325,12
326,16
327,8
328,15
329,15
330,10
331,9
332,23
333,17
334,7
335,9
336,17
337,8
338,9
339,13
340,25
341,27
342,13
343,19
344,15
345,12
346,14
347,14
348,16
349,11
350,14
351,23
352,24
353,15
354,12
355,8
356,15
357,13
358,12
359,12
360,18
361,10
362,12
363,16
364,7
365,14
366,19
367,15
368,14
369,15
370,14
371,13
372,16
373,21
374,6
375,18
376,11
377,12
378,17
379,10
380,14
381,10
382,15
383,13
384,13
385,20
386,18
387,12
388,16
389,15
390,24
391,9
392,13
393,15
394,22
395,14
396,14
397,12
398,9
399,15
400,13
401,19
402,21
403,12
404,11
405,14
406,22
407,7
408,12
409,9
410,14
411,11
412,14
413,12
414,15
415,10
416,15
417,11
418,16
419,16
420,11
421,22
422,21
423,10
424,20
425,13
426,12
427,9
428,8
429,18
430,9
431,8
432,13
433,16
434,12
435,11
436,27
437,13
438,25
439,8
440,12
441,15
442,15
443,17
444,15
445,13
446,8
447,15
448,14
449,16
450,24
451,12
452,10
453,19
454,15
455,16
456,14
457,14
458,10
459,14
460,7
461,6
462,13
463,10
464,23
465,19
466,16
467,16
468,12
469,13
470,8
471,11
472,9
473,14
474,15
475,11
476,20
477,9
478,14
479,13
480,11
481,14
482,20
483,14
484,10
485,15
486,10
487,18
488,10
489,12
490,15
491,21
492,14
493,13
494,8
495,18
496,23
497,16
498,22
499,26
500,14
501,21
502,13
503,21
504,14
505,13
506,15
507,16
508,10
509,10
510,10
511,13
512,15
513,18
514,20
515,16
516,19
517,12
518,18
519,13
520,11
521,10
522,13
523,13
524,13
525,7
526,11
527,5
528,12
529,9
530,18
531,9
532,8
533,16
534,12
535,20
536,12
537,14
538,14
539,9
540,11
541,18
542,11
543,14
544,18
545,10
546,19
547,23
548,20
549,17
550,17
551,17
552,10
553,13
554,10
555,4
556,20
557,8
558,14
559,15
560,14
561,23
562,11
563,11
564,21
565,19
566,14
567,18
568,20
569,14
570,14
571,10
572,21
573,15
574,15
575,7
576,16
577,15
578,13
579,15
580,21
581,16
582,14
583,16
584,9
585,7
586,11
587,16
588,15
589,18
590,18
591,16
592,12
593,16
594,11
595,16
596,14
597,14
598,10
599,11
600,13
601,14
602,14
603,14
604,11
605,17
606,18
607,17
608,16
609,8
610,11
611,13
612,20
613,13
614,18
615,12
616,15
617,16
618,7
619,8
620,12
621,20
622,12
623,17
624,19
625,20
626,13
627,14
628,21
629,25
630,20
631,16
632,14
633,10
634,15
635,9
636,11
637,16
638,18
639,15
640,16
641,13
642,13
643,11
644,11
645,14
646,19
647,11
648,13
649,13
650,9
651,13
652,10
653,18
654,14
655,10
656,14
657,17
658,15
659,18
660,16
661,12
662,21
663,17
664,10
665,13
666,13
667,4
668,13
669,14
670,10
671,9
672,12
673,19
674,13
675,14
676,9
677,17
678,20
679,16
680,15
681,10
682,14
683,15
684,9
685,18
686,12
687,4
688,15
689,17
690,15
691,17
692,9
693,8
694,19
695,14
696,12
697,14
698,17
699,9
700,12
701,17
702,25
703,10
704,14
705,10
706,14
707,9
708,24
709,16
710,23
711,13
712,11
713,14
714,16
715,15
716,9
717,11
718,15
719,16
720,22
721,21
722,18
723,27
724,16
725,12
726,17
727,21
728,11
729,12
730,14
731,11
732,12
733,13
734,12
735,15
736,19
737,18
738,13
739,12
740,13
741,17
742,11
743,13
744,10
745,12
746,13
747,14
748,16
749,15
750,13
751,14
752,13
753,30
754,14
755,25
756,16
757,14
758,22
759,8
760,16
761,8
762,10
763,16
764,13
765,16
766,9
767,13
768,20
769,15
770,19
771,18
772,11
773,15
774,14
775,15
776,12
777,15
778,15
779,16
780,14
781,20
782,14
783,17
784,15
785,18
786,20
787,16
788,22
789,12
790,14
791,11
792,14
793,13
794,16
795,9
796,17
797,16
798,18
799,19
800,18
801,15
802,17
803,19
804,15
805,14
806,16
807,18
808,11
809,10
810,17
811,9
812,13
813,19
814,11
815,11
816,17
817,12
818,15
819,21
820,11
821,13
822,20
823,12
824,11
825,20
826,14
827,14
828,14
829,11
830,15
831,14
832,14
833,11
834,9
835,13
836,13
837,23
838,17
839,18
840,17
841,14
842,11
843,12
844,6
845,18
846,13
847,14
848,15
849,21
850,15
851,17
852,12
853,12
854,12
855,14
856,13
857,11
858,10
859,17
860,16
861,14
862,12
863,10
864,14
865,12
866,11
867,21
868,14
869,11
870,17
871,12
872,7
873,22
874,12
875,13
876,20
877,13
878,6
879,14
880,13
881,18
882,16
883,15
884,14
885,15
886,18
887,15
888,13
889,6
890,14
891,14
892,13
893,10
894,9
895,11
896,14
897,19
898,16
899,28
900,12
901,8
902,11
903,22
904,14
905,13
906,18
907,10
908,11
909,11
910,14
911,11
912,16
913,12
914,16
915,16
916,12
917,20
918,19
919,19
920,10
921,18
922,9
923,8
924,13
925,15
926,15
927,15
928,12
929,18
930,13
931,15
932,18
933,22
934,19
935,11
936,8
937,16
938,7
939,13
940,12
941,12
942,11
943,7
944,17
945,15
946,19
947,19
948,13
949,11
950,29
951,18
952,11
953,13
954,21
955,13
956,11
957,8
958,15
959,7
960,17
961,14
962,18
963,13
964,17
965,21
966,33
967,17
968,16
969,6
970,10
971,13
972,18
973,10
974,12
975,16
976,29
977,14
978,13
979,15
980,13
981,11
982,13
983,20
984,15
985,12
986,14
987,9
988,12
989,24
990,12
991,23
992,10
993,19
994,15
995,14
996,18
997,13
998,17
999,21
1000,14
1001,14
1002,18
1003,12
1004,12
1005,17
1006,13
1007,8
1008,16
1009,21
1010,12
1011,15
1012,15
1013,17
1014,13
1015,20
1016,15
1017,11
1018,12
1019,11
1020,17
1021,14
1022,12
1023,10
1024,12
1025,16
1026,7
1027,16
1028,12
1029,16
1030,22
1031,17
1032,8
1033,12
1034,14
1035,11
1036,13
1037,17
1038,9
1039,10
1040,16
1041,18
1042,15
1043,15
1044,23
1045,12
1046,14
1047,18
1048,13
1049,23
1050,13
1051,13
1052,17
1053,16
1054,16
1055,10
1056,15
1057,16
1058,13
1059,9
1060,15
1061,17
1062,31
1063,18
1064,8
1065,13
1066,10
1067,18
1068,11
1069,16
1070,16
1071,14
1072,24
1073,16
1074,27
1075,12
1076,19
1077,16
1078,26
1079,12
1080,13
1081,12
1082,13
1083,5
1084,15
1085,18
1086,19
1087,16
1088,11
1089,17
1090,15
1091,7
1092,10
1093,13
1094,20
1095,18
1096,21
1097,5
1098,14
1099,17
1100,8
1101,16
1102,7
1103,19
1104,20
1105,19
1106,18
