idx,count
0,18
1,25
2,16
3,20
4,15
5,21
6,22
7,19
8,13
9,16
10,10
11,14
12,11
13,14
14,15
15,18
16,15
17,16
18,15
19,13
20,18
21,13
22,14
23,16
24,12
25,14
26,8
27,10
28,17
29,16
30,16
31,12
32,17
33,13
34,23
35,12
36,15
37,20
38,23
39,14
40,9
41,14
42,7
43,13
44,18
45,22
46,20
47,14
48,12
49,16
50,20
51,16
52,14
53,28
54,15
55,17
56,14
57,15
58,15
59,9
60,11
61,23
62,22
63,16
64,19
65,12
66,17
67,21
68,21
69,23
70,16
71,20
72,9
73,12
74,14
75,17
76,16
77,8
78,10
79,12
80,18
81,19
82,23
83,16
84,16
85,22
86,8
87,21
88,12
89,19
90,11
91,10
92,15
93,11
94,11
95,19
96,23
97,15
98,15
99,15
100,15
101,19
102,16
103,18
104,9
105,17
106,13
107,15
108,17
109,24
110,15
111,19
112,20
113,13
114,13
115,12
116,17
117,24
118,15
119,21
120,17
121,9
122,10
123,11
124,12
125,17
126,10
127,19
128,6
129,11
130,19
131,20
132,17
133,19
134,18
135,18
136,14
137,17
138,21
139,15
140,16
141,8
142,17
143,17
144,14
145,13
146,16
147,11
148,19
149,21
150,17
151,15
152,5
153,21
154,8
155,19
156,9
157,12
158,18
159,11
160,18
161,14
162,16
163,9
164,10
165,21
166,11
167,13
168,15
169,16
170,10
171,8
172,14
173,14
174,17
175,9
176,14
177,15
178,9
179,14
180,14
181,19
182,22
183,11
184,9
185,16
186,14
187,16
188,16
189,12
190,20
191,10
192,21
193,11
194,11
195,20
196,14
197,16
198,14
199,25
200,10
201,14
202,11
203,12
204,10
205,18
206,14
207,17
208,24
209,15
210,21
211,16
212,24
213,9
214,9
215,20
216,17
217,14
218,6
219,19
220,17
221,16
222,7
223,16
224,27
225,15
226,19
227,16
228,18
229,15
230,18
231,21
232,16
233,13
234,6
235,8
236,12
237,17
238,17
239,28
240,16
241,13
242,23
243,11
244,17
245,19
246,15
247,26
248,14
249,9
250,17
251,27
252,11
253,15
254,11
255,19
256,14
257,7
258,18
259,13
260,25
261,25
262,16
263,14
264,13
265,11
266,9
267,13
268,7
269,22
270,17
271,10
272,19
273,15
274,14
275,14
276,18
277,13
278,20
279,20
280,15
281,10
282,21
283,16
284,14
285,13
286,11
287,16
288,19
289,22
290,11
291,13
292,15
293,17
294,13
295,18
296,5
297,13
298,14
299,11
300,20
301,10
302,21
303,12
304,20
305,12
306,14
307,19
308,19
309,22
310,24
311,16
312,8
313,16
314,9
315,10
316,17
317,18
318,10
319,14
320,16
321,20
322,7
323,17
324,23
325,17
326,10
327,21
328,12
329,9
330,11
331,11
332,17
333,12
334,12
335,15
336,12
337,15
338,15
339,26
340,13
341,16
342,17
343,20
344,10
345,14
346,12
347,11
348,10
349,8
350,9
351,13
352,6
353,14
354,15
355,17
356,22
357,15
358,19
359,16
360,19
361,16
362,14
363,10
364,8
365,12
366,13
367,16
368,18
369,12
370,19
371,10
372,15
373,24
374,21
375,16
376,14
377,16
378,13
379,13
380,16
381,8
382,10
383,11
384,16
385,17
386,20
387,21
388,19
389,11
390,14
391,9
392,9
393,10
394,9
395,8
396,15
397,11
398,17
399,15
400,17
401,21
402,15
403,16
404,16
405,20
406,16
407,9
408,18
409,13
410,14
411,17
412,7
413,13
414,11
415,11
416,18
417,15
418,12
419,13
420,18
421,16
422,16
423,20
424,6
425,17
426,8
427,20
428,15
429,8
430,13
431,16
432,18
433,17
434,13
435,26
436,12
437,20
438,16
439,18
440,6
441,16
442,14
443,8
444,25
445,14
446,11
447,13
448,19
449,8
450,12
451,12
452,13
453,11
454,19
455,15
456,16
457,11
458,10
459,13
460,10
461,16
462,9
463,17
464,20
465,11
466,19
467,18
468,11
469,21
470,20
471,7
472,18
473,12
474,16
475,13
476,14
477,12
478,20
479,21
480,13
481,17
482,11
483,16
484,17
485,16
486,8
487,19
488,10
489,10
490,10
491,21
492,12
493,16
494,15
495,16
496,22
497,14
498,19
499,15
500,15
501,19
502,21
503,13
504,9
505,11
506,11
507,10
508,9
509,13
510,12
511,11
512,16
513,19
514,13
515,12
516,15
517,18
518,14
519,16
520,12
521,15
522,17
523,12
524,19
525,16
526,17
527,11
528,18
529,12
530,17
531,13
532,24
533,12
534,12
535,14
536,9
537,14
538,18
539,13
540,11
541,14
542,12
543,11
544,14
545,15
546,16
547,13
548,19
549,15
550,14
551,20
552,14
553,17
554,13
555,16
556,14
557,20
558,9
559,17
560,18
561,11
562,17
563,13
564,10
565,19
566,19
567,10
568,8
569,10
570,17
571,12
572,9
573,18
574,15
575,19
576,14
577,17
578,11
579,13
580,10
581,14
582,20
583,21
584,19
585,11
586,12
587,13
588,9
589,14
590,10
591,13
592,10
593,13
594,11
595,13
596,19
597,11
598,14
599,20
600,17
601,7
602,16
603,7
604,12
605,15
606,11
607,12
608,12
609,14
610,9
611,12
612,18
613,19
614,16
615,18
616,14
617,14
618,15
619,22
620,13
621,13
622,13
623,15
624,18
625,14
626,17
627,9
628,19
629,10
630,14
631,16
632,12
633,16
634,9
635,12
636,10
637,19
638,12
639,15
640,10
641,12
642,11
643,18
644,21
645,18
646,15
647,21
648,17
649,10
650,13
651,11
652,9
653,16
654,7
655,13
656,9
657,25
658,20
659,14
660,16
661,9
662,11
663,15
664,16
665,8
666,14
667,11
668,10
669,15
670,5
671,15
672,15
673,12
674,17
675,14
676,13
677,17
678,17
679,14
680,12
681,10
682,13
683,15
684,8
685,16
686,13
687,10
688,16
689,21
690,15
691,15
692,22
693,18
694,22
695,14
696,11
697,15
698,14
699,22
700,12
701,13
702,7
703,5
704,14
705,15
706,12
707,11
708,21
709,17
710,13
711,15
712,11
713,13
714,12
715,12
716,11
717,12
718,14
719,15
720,21
721,9
722,10
723,18
724,17
725,14
726,19
727,24
728,13
729,13
730,12
731,11
732,10
733,13
734,11
735,6
736,15
737,12
738,18
739,17
740,9
741,17
742,10
743,11
744,12
745,10
746,4
747,10
748,17
749,19
750,14
751,13
752,11
753,23
754,20
755,19
756,19
757,15
758,12
759,10
760,11
761,14
762,14
763,15
764,11
765,22
766,14
767,15
768,9
769,17
770,15
771,16
772,15
773,18
774,19
775,10
776,8
777,17
778,12
779,12
780,12
781,11
782,11
783,8
784,13
785,23
786,12
787,24
788,12
789,15
790,14
791,17
792,9
793,14
794,10
795,10
796,17
797,12
798,12
799,7
800,18
801,21
802,13
803,14
804,14
805,19
806,10
807,11
808,19
809,13
810,17
811,11
812,19
813,14
814,13
815,9
816,12
817,21
818,19
819,14
820,12
821,20
822,25
823,14
824,19
825,9
826,11
827,9
828,12
829,13
830,19
831,12
832,13
833,18
834,14
835,16
836,21
837,16
838,19
839,15
840,9
841,17
842,12
843,14
844,14
845,14
846,11
847,10
848,9
849,14
850,21
851,12
852,19
853,11
854,20
855,21
856,12
857,12
858,8
859,9
860,9
861,19
862,12
863,14
864,23
865,15
866,21
867,16
868,12
869,12
870,18
871,15
872,17
873,10
874,11
875,9
876,13
877,8
878,7
879,12
880,20
881,12
882,17
883,25
884,23
885,15
886,22
887,16
888,15
889,17
890,12
891,13
892,15
893,8
894,16
895,12
896,19
897,14
898,23
899,12
900,14
901,19
902,22
903,16
904,9
905,15
906,10
907,8
908,17
909,14
910,16
911,13
912,16
913,18
914,22
915,14
916,12
917,15
918,20
919,14
920,9
921,13
922,9
923,9
924,9
925,20
926,14
927,20
928,15
929,16
930,26
931,21
932,16
933,12
934,22
935,14
936,13
937,14
938,11
939,17
940,14
941,15
942,12
943,8
944,13
945,10
946,12
947,17
948,19
949,9
950,16
951,20
952,12
953,17
954,8
955,10
956,14
957,9
958,10
959,10
960,20
961,22
962,18
963,8
964,16
965,11
966,11
967,19
968,8
969,18
970,16
971,12
972,12
973,21
974,5
975,16
976,16
977,16
978,15
979,16
980,15
981,17
982,8
983,15
984,14
985,12
986,11
987,14
988,12
989,10
990,17
991,18
992,14
993,10
994,21
995,15
996,13
997,15
998,14
999,24
1000,11
1001,14
1002,8
1003,14
1004,12
1005,11
1006,12
1007,16
1008,19
1009,17
1010,17
1011,14
1012,18
1013,12
1014,16
1015,21
1016,24
1017,14
1018,14
1019,15
1020,13
1021,15
1022,13
1023,19
1024,11
1025,11
1026,17
1027,8
1028,15
1029,14
1030,15
1031,20
1032,12
1033,19
1034,19
1035,17
1036,12
1037,11
1038,10
1039,18
1040,11
1041,11
1042,8
1043,12
1044,14
1045,17
1046,20
1047,12
1048,12
1049,11
1050,16
1051,12
1052,10
1053,8
1054,13
1055,15
1056,5
1057,16
1058,14
1059,14
1060,16
1061,11
1062,19
1063,16
1064,14
1065,11
1066,16
1067,12
1068,19
1069,14
1070,13
1071,4
1072,10
1073,13
1074,15
1075,12
1076,16
1077,16
1078,11
1079,6
1080,10
1081,13
1082,16
1083,14
1084,23
1085,19
1086,18
1087,9
1088,25
1089,19
1090,14
1091,12
1092,19
1093,24
1094,11
1095,19
1096,16
1097,11
1098,11
1099,18
1100,11
1101,13
1102,20
1103,9
1104,14
1105,16
1106,16
1107,13
1108,14
1109,16
1110,15
1111,15
1112,4
1113,21
1114,16
1115,12
1116,17
1117,15
1118,14
1119,13
1120,12
1121,22
1122,17
1123,13
1124,16
1125,20
1126,12
1127,14
1128,20
1129,7
1130,16
1131,13
1132,13
1133,16
1134,14
1135,17
1136,14
1137,14
1138,15
1139,22
1140,20
1141,15
1142,18
1143,11
1144,16
1145,15
1146,11
1147,14
1148,14
1149,15
1150,20
1151,18
1152,14
1153,19
1154,13
1155,13
1156,16
1157,23
1158,20
1159,8
1160,10
1161,10
1162,13
1163,19
1164,16
1165,11
1166,11
1167,10
1168,18
1169,22
1170,12
1171,16
1172,20
1173,18
1174,19
1175,22
1176,13
1177,11
1178,12
1179,15
1180,10
1181,20
1182,14
1183,15
1184,19
1185,17
1186,14
1187,20
1188,14
1189,12
1190,16
1191,16
1192,7
1193,11
1194,13
1195,13
1196,5
1197,16
1198,14
1199,14
1200,20
1201,12
1202,18
1203,11
1204,21
1205,18
1206,20
1207,10
1208,9
1209,14
1210,9
1211,15
1212,14
1213,21
1214,17
1215,5
1216,15
1217,13
1218,17
1219,9
1220,21
1221,18
1222,23
1223,21
1224,14
1225,12
1226,17
1227,19
1228,13
1229,10
1230,13
1231,16
1232,18
1233,19
1234,14
1235,14
1236,22
1237,16
1238,17
1239,13
1240,9
1241,11
1242,10
1243,22
1244,8
1245,14
1246,15
1247,10
1248,14
1249,25
1250,12
1251,18
1252,10
1253,20
1254,18
1255,22
1256,9
1257,16
1258,9
1259,10
1260,14
1261,15
