idx,count
0,86
1,89
2,76
3,96
4,105
5,81
6,97
7,101
8,76
9,69
10,72
11,77
12,78
13,73
14,103
15,89
16,69
17,83
18,88
19,92
20,86
21,81
22,96
23,85
24,70
25,81
26,67
27,90
28,80
29,64
30,101
31,66
32,74
33,88
34,93
35,83
36,101
37,92
38,107
39,87
40,78
41,57
42,64
43,83
44,91
45,85
46,96
47,85
48,85
49,94
50,103
51,102
52,93
53,103
54,113
55,109
56,85
57,74
58,82
59,80
60,105
61,94
62,90
63,88
64,84
65,89
66,85
67,96
68,107
69,95
70,96
71,91
72,74
73,87
74,86
75,74
76,84
77,62
78,86
79,98
80,86
81,82
82,84
83,106
84,90
85,100
86,95
87,101
88,90
89,75
90,88
91,61
92,83
93,81
94,72
95,97
96,79
97,85
98,79
99,79
100,86
101,88
102,92
103,103
104,77
105,74
106,78
107,75
108,86
109,84
110,85
111,88
112,81
113,86
114,109
115,74
116,85
117,98
118,82
119,102
120,84
121,73
122,72
123,77
124,75
125,94
126,70
127,90
128,74
129,85
130,81
131,86
132,71
133,93
134,129
135,82
136,72
137,71
138,89
139,90
140,90
141,68
142,107
143,83
144,83
145,84
146,76
147,72
148,81
149,86
150,106
151,83
152,75
153,72
154,71
155,80
156,69
157,82
158,94
159,65
160,90
161,96
162,88
163,78
164,82
165,96
166,102
167,107
168,96
169,83
170,65
171,75
172,71
173,80
174,83
175,91
176,73
177,78
178,97
179,83
180,89
181,88
182,98
183,85
184,74
185,80
186,63
187,80
188,71
189,76
190,100
191,80
192,78
193,89
194,80
195,89
196,95
197,84
198,99
199,102
200,73
201,78
202,79
203,87
204,74
205,84
206,70
207,76
208,83
209,82
210,83
211,75
212,79
213,59
214,89
215,105
216,66
217,58
218,64
219,67
220,60
221,87
222,90
223,100
224,116
225,80
226,87
227,94
228,75
229,81
230,78
231,107
232,70
233,78
234,69
235,79
236,70
237,76
238,89
239,111
240,88
241,80
242,73
243,79
244,95
245,85
246,84
247,127
248,78
249,58
250,76
251,89
252,76
253,90
254,72
255,94
256,92
257,83
258,101
259,107
260,84
261,81
262,84
263,114
264,75
265,82
266,86
267,74
268,62
269,76
270,89
271,80
272,84
273,100
274,83
275,93
276,87
277,83
278,98
279,96
280,75
281,66
282,74
283,70
284,70
285,77
286,100
287,76
288,94
289,105
290,92
291,86
292,91
293,99
294,112
295,86
296,69
297,80
298,76
299,60
300,84
301,76
302,84
303,69
304,85
305,92
306,77
307,75
308,81
309,95
310,100
311,99
312,87
313,69
314,72
315,72
316,83
317,68
318,77
319,74
320,104
321,81
322,90
323,90
324,84
325,78
326,83
327,100
328,74
329,74
330,77
331,66
332,85
333,78
334,73
335,88
336,79
337,84
338,84
339,99
340,91
341,112
342,88
343,115
344,60
345,74
346,67
347,82
348,67
349,82
350,63
351,108
352,88
353,90
354,84
355,80
356,93
357,76
358,102
359,107
360,73
361,60
362,73
363,66
364,63
365,67
366,95
367,76
368,88
369,82
370,90
371,77
372,92
373,79
374,75
375,115
376,84
377,63
378,87
379,71
380,69
381,73
382,87
383,82
384,82
385,85
386,89
387,96
388,84
389,83
390,108
391,87
392,80
393,72
394,58
395,71
396,78
397,89
398,97
399,67
400,79
401,88
402,94
403,90
404,87
405,77
406,94
407,77
408,76
409,77
410,78
411,71
412,56
413,71
414,85
415,79
416,79
417,101
418,73
419,78
420,72
421,81
422,106
423,88
424,72
425,76
426,74
427,77
428,78
429,78
430,91
431,79
432,91
433,84
434,94
435,84
436,92
437,85
438,104
439,85
440,63
441,65
442,83
443,79
444,80
445,72
446,78
447,83
448,85
449,72
450,81
451,80
452,86
453,102
454,78
455,87
456,53
457,81
458,88
459,84
460,72
461,69
462,70
463,71
464,99
465,75
466,86
467,103
468,79
469,77
470,95
471,85
472,87
473,70
474,71
475,72
476,81
477,82
478,69
479,84
480,67
481,100
482,78
483,90
484,87
485,83
486,67
487,104
488,73
489,77
490,77
491,81
492,64
493,77
494,83
495,94
496,90
497,81
498,84
499,103
500,81
501,91
502,101
503,105
504,65
505,85
506,74
507,82
508,75
509,61
510,70
511,90
512,86
513,92
514,87
515,82
516,86
517,85
518,86
519,96
520,82
521,71
522,89
523,82
524,79
525,78
526,89
527,98
528,81
529,74
530,85
531,73
